"Источник трафика","Источник трафика (детально)","Поисковая система","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной формы в минске","1","1","0.0","3.0","00:00:44"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной экипировки для детей","1","1","0.0","20.0","00:08:31"
"Переходы из поисковых систем","Яндекс","Яндекс","магазин футбольной экипировки минск","1","1","0.0","1.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","майка вратарская футбольная","1","1","0.0","3.0","00:12:51"
"Переходы из поисковых систем","Яндекс","Яндекс","майка кельме желтая","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","майка реал мадрид купить беларусь","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","майки для легкой атлетики","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","майки келме минск","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","майки спортивные оптом минма","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мальчики спортивная форма","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","манекен для дзюдо купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","манекен тренировочный","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","манишки спортивные купить минск","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","манишки футбольные купить","1","1","0.0","2.0","00:00:46"
"Переходы из поисковых систем","Яндекс","Яндекс","мини-барьеры тренировочные","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","минск проспект дзержинского 90 тгт","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","минск тгт","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мужской бомбер в беларуси купить","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч leather football","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч волейбольный термосклейка","1","1","0.0","2.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч футбольный ручная сшивка минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","мяч футбольный термосклейка купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","набивка на футбольную форму нанесение логотипа на темерязево","1","1","0.0","2.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","набить номер на шорты","1","1","0.0","3.0","00:00:47"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение логотипа и номера на форму","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение логотипа на форму","1","1","0.0","3.0","00:01:30"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение на форму номеров и фамилии","1","1","0.0","2.0","00:00:26"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение на форму футбольную","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение принта на футболку минск футболиску","1","1","0.0","4.0","00:00:45"
"Переходы из поисковых систем","Яндекс","Яндекс","низкие барьеры купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","новая форма реал мадрид цена беларусь","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","ножницы для разрезания повязок купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","носки fn swift","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь 17170-107 yosemitsu","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь kelme размерная сетка","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь борцовки купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для бадминтона","1","1","0.0","2.0","00:01:27"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для бадминтона купить","1","1","0.0","3.0","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для баскетбола купить в минске","1","1","0.0","7.0","00:01:39"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь для гандбола купить","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","обувь специальная для легкой атлетики в беларуси","1","1","0.0","2.0","00:00:32"
"Переходы из поисковых систем","Яндекс","Яндекс","одежда для спортсменов минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","олимпийка минск","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","олимпийка мужская минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","перчатки для футзала fn минск","1","1","0.0","2.0","00:03:40"
"Переходы из поисковых систем","Яндекс","Яндекс","поставщик и производитель тэйпы в минске","1","1","0.0","2.0","00:00:39"
"Переходы из поисковых систем","Яндекс","Яндекс","пр-т дзержинского, д. 90, пом. 427","1","1","0.0","1.0","00:00:11"
"Переходы из поисковых систем","Яндекс","Яндекс","приклеить номер на одежду футбол минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","продукция зао ""тгт""","1","1","0.0","3.0","00:05:53"
"Переходы из поисковых систем","Яндекс","Яндекс","проф спорт минск центр экипировки","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","профессиональная сетка для футбольных ворот купить в беларуси цена","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","профессиональные вратарские перчатки купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик fn белый","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик fn для мужчин купить в минске","1","1","0.0","2.0","00:00:05"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик kelme padding jacket","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик kelme длинный мужской","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик в минске зелёный","1","1","1.0","1.0","00:00:02"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик венгера купить в минске","1","1","0.0","5.0","00:02:57"
"Переходы из поисковых систем","Яндекс","Яндекс","пуховик детский fn padding jacket kid black","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","размер кроссовок fn","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","размер одежды кельми какой рост","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","размерный ряд kelme","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","райо вальекано купить одежду","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","реал мадрид минске купить форму реала","1","1","0.0","2.0","00:00:12"
"Переходы из поисковых систем","Яндекс","Яндекс","реал мадрид форма купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рукав спортивный купить","1","1","0.0","5.0","00:01:08"
"Переходы из поисковых систем","Яндекс","Яндекс","рэперские пуховики купить","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак fn backpack купить беларусь","1","1","0.0","2.0","00:00:06"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак мешок купить минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme backpack uni / 9893020-003 (черный)","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme backpack uni / 9893020-416","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","рюкзак спортивный kelme leisure sports черный","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","с тгт","1","1","0.0","18.0","00:02:33"
"Переходы из поисковых систем","Яндекс","Яндекс","сайт s-tgt.by","1","1","0.0","7.0","00:01:38"
"Переходы из поисковых систем","Яндекс","Яндекс","синий костюм fn dynamic","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","снуд мужской купить дана молл","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","сороконожки для футбола eagle tf","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спорт стайл","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная майка мужская","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная обувь","1","1","0.0","14.0","00:14:46"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда ctaft минск","1","1","0.0","3.0","00:00:58"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда беларусь","1","1","0.0","7.0","00:03:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная одежда в рб","1","1","0.0","2.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная повязка на голову купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная сумка kelme small training bag, артикул 94962-130","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка беларусь купить в минске","1","1","0.0","3.0","00:00:36"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная экипировка купить","1","1","0.0","3.0","00:02:31"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные барьеры купить в минске","1","1","0.0","2.0","00:18:44"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные ветровки","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилетки","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилетки минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные жилеты дженова минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины беларусь","1","1","0.0","2.0","00:03:26"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины минск в минске","1","1","0.0","2.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные магазины одежды","1","1","0.0","6.0","00:02:04"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные майки","1","1","0.0","6.0","00:01:33"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные рукава бежевые","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивный костюм fn минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивный костюм кельме купить беларусь","1","1","0.0","15.0","00:27:39"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивный костюм мужской fn rapid","1","1","1.0","1.0","00:00:05"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивный пуховик купить минск","1","1","0.0","2.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","стоимость фан барьеров в минке","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","стройтрест 7 футбольная форма","1","1","0.0","1.0","00:00:20"
"Переходы из поисковых систем","Яндекс","Яндекс","судейская форма вильнюс","1","1","0.0","4.0","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","судейская форма купить","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","судейская форма купить в рб","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","судейская экипировка","1","1","0.0","2.0","00:00:46"
"Переходы из поисковых систем","Яндекс","Яндекс","сумка hn calmay large bag 340a","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","сумка kelme 8401bb5055-000","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","таблица размеров кельме одежда","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","табло гандбольное цена в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт sports","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт бай интернет магазин","1","1","0.0","1.0","00:00:20"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт бай юр адрес","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт ветровка","1","1","0.0","3.0","00:02:12"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт время работы","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт директор","1","1","0.0","2.0","00:01:07"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт кельме рб","1","1","0.0","4.0","00:03:18"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт минск","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт одежда","1","1","0.0","1.0","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт фирма","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт форма волейбол","1","1","0.0","13.0","00:04:40"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт футболки","1","1","0.0","2.0","00:00:36"
"Переходы из поисковых систем","Яндекс","Яндекс","тейп купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","телефон тгт","1","1","0.0","2.0","00:00:25"
"Переходы из поисковых систем","Яндекс","Яндекс","термобелье falcon купить в рб","1","1","0.0","1.0","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","термобелье гребля с символикой","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","турфы kelme goleiro turf elastic","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","унп 191760042","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","фирма tgt безрукавки","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","фирма тгт","1","1","0.0","2.0","00:00:52"
"Переходы из поисковых систем","Яндекс","Яндекс","фн спорт","1","1","0.0","9.0","00:10:43"
"Переходы из поисковых систем","Яндекс","Яндекс","форма вратаря купить рб","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","форма вратаря футбольная купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма для легкой атлетики беларусь","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма для легкой атлетики мужские купить в минске","1","1","0.0","2.0","00:01:12"
"Переходы из поисковых систем","Яндекс","Яндекс","форма для спортсменов пошив минск","1","1","0.0","2.0","00:01:26"
"Переходы из поисковых систем","Яндекс","Яндекс","форма для футбола купить","1","1","0.0","3.0","00:01:32"
"Переходы из поисковых систем","Яндекс","Яндекс","форма для футбольной команды","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма короткая для легкой атлетики купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма легкоатлетическая","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма рб по легкой атлетике купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма реала купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","форма соревновательная для легкой атлетики купить в беларуси","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","форма соревновательная для легкой атлетики с символикой","1","1","0.0","1.0","00:00:44"
"Переходы из поисковых систем","Яндекс","Яндекс","форма судейская футбольная","1","1","0.0","3.0","00:27:23"
"Переходы из поисковых систем","Яндекс","Яндекс","форма футбольная kelme 7351zb1129-105 купить","1","1","0.0","2.0","00:00:50"
"Переходы из поисковых систем","Яндекс","Яндекс","форма футбольная kelme football suit 8351zb1085-100","1","1","0.0","3.0","00:17:03"
"Переходы из поисковых систем","Яндекс","Яндекс","форма футбольная купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футболка real madrid","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футболка t-shirt fn4011001","1","1","0.0","1.0","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","футболки tgt","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная обувь минск","1","1","0.0","3.0","00:00:53"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма kelme 8351zb1081-401 описание","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма kelme football suit 7351zb1129-105 купить","1","1","0.0","2.0","00:00:05"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма kelme football suit детская","1","1","0.0","20.0","00:17:46"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма детская лазурный бирюзовый купить минск","1","1","0.0","10.0","00:11:47"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма динамо минск детская","1","1","0.0","1.0","00:00:22"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма для детей купить беларусь","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма для мальчиков купить рб","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма зевс","1","1","0.0","1.0","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма келми 21 век","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма купить","1","1","0.0","3.0","00:00:52"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма купить в беларуси","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма купить в беларуси реал мадрид","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма подростковая купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма с нанесением","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма фк сморгонь купить","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная экипировка","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная экипировки минск","1","1","0.0","36.0","00:16:22"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольные бутсы беларуси купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольные вратарские защита локтей купить в бресте","1","1","0.0","4.0","00:01:43"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки 33 купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки 47 размер","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки fn размерная сетка","1","1","0.0","5.0","00:01:00"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки shadow купить","1","1","0.0","13.0","00:03:32"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки silence","1","1","0.0","2.0","00:00:28"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки детские кельми купить","1","1","0.0","1.0","00:00:12"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки кельме купить в минске","1","1","0.0","4.0","00:01:24"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки купить","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки купить 36р","1","1","0.0","2.0","00:00:33"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки купить в минске 48-49 размер","1","1","0.0","3.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки минск","1","1","0.0","2.0","00:00:05"
"Переходы из поисковых систем","Яндекс","Яндекс","хоккейная экипировка","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","центр спорт экипировки","1","1","0.0","3.0","00:00:31"
"Переходы из поисковых систем","Яндекс","Яндекс","шапка детская реал мадрид","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","шарф бургунди купить минск","1","1","0.0","1.0","00:00:38"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки детские келми купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки для бега на длинные дистанции купить","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки для легкой атлетики бег на средние дистанции в минске","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки для легкой атлетики купить беларуси","1","1","0.0","2.0","00:02:45"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки купить на короткие и средние дистанции в беларуси","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","шипы легкая атлетика купить минске","1","1","0.0","2.0","00:00:29"
"Переходы из поисковых систем","Яндекс","Яндекс","шповки для бега на длинные дистанции купить в беларуси","1","1","0.0","4.0","00:05:42"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировка спортивная беларусь","1","1","0.0","2.0","00:00:29"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировочный центр kelme минск","1","1","0.0","2.0","00:00:23"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировочный центр s-tgt.by","1","1","0.0","10.0","00:02:43"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировочный центр для спорта на дзержинского","1","1","0.0","1.0","00:00:14"
"Переходы из поисковых систем","Google","Google","баскетбольный мяч","1","1","0.0","6.0","00:01:50"
"Переходы из поисковых систем","Google","Google","кроссовки купить мужские","1","1","0.0","6.0","00:02:32"
"Переходы из поисковых систем","Google","Google","купить флажки судейские футбольные","1","1","0.0","3.0","00:00:59"
"Переходы из поисковых систем","Google","Google","купить шапку спортивную вс рб","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Google","Google","оригинальная форма реала купить в минске","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Google","Google","флажки судейские футбольные купить","1","1","1.0","1.0","00:00:00"
"Переходы по рекламе","TikTok","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы с сохранённых страниц","Не определено","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы из социальных сетей","Linked in","Не определено","Не определено","1","1","0.0","3.0","00:05:11"
"Переходы из рекомендательных систем","Дзен","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы из рекомендательных систем","Google Discover","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
